alpha,mean_tau,median_tau,std_tau,mean_tau_frac,median_tau_frac,p25_tau_frac,p75_tau_frac,n_abstained,seed,dataset_key
0.3,37.767955801104975,31.0,32.902186709949675,0.3132976454727485,0.25,0.08704918032786885,0.49822695035460995,1267,3,gsm8k_phi3
0.4,31.355621301775148,23.0,31.261686776579133,0.27443569931782724,0.18569065343258892,0.05340236686390533,0.44451852891633914,1690,3,gsm8k_phi3
0.5,27.882102272727273,17.0,29.568036299024822,0.2546073565691921,0.15484574111334676,0.043478260869565216,0.40851194121249235,2112,3,gsm8k_phi3
0.6,24.708366219415943,13.0,28.333616031309656,0.2323436035603311,0.13010288748755394,0.03125,0.36408789885611076,2534,3,gsm8k_phi3
0.7,19.207642881298614,9.0,24.951305348148786,0.18875838574571044,0.07894736842105263,0.016129032258064516,0.28125,2957,3,gsm8k_phi3
0.8,13.385321100917432,5.0,19.492012098285734,0.14209607704054716,0.04395604395604396,0.008928571428571428,0.1875,3379,3,gsm8k_phi3
0.9,8.000789265982636,2.0,13.901455311664883,0.0918904570389797,0.021052631578947368,0.0,0.0975609756097561,3801,3,gsm8k_phi3
0.1,62.49052132701422,58.0,41.82114541704497,0.4493850098847515,0.4615446543580936,0.22883597883597884,0.6666666666666666,422,4,gsm8k_phi3
0.2,47.98816568047337,42.0,35.47406556069522,0.3764908675400937,0.3448275862068966,0.14375,0.5877192982456141,845,4,gsm8k_phi3
0.3,38.76558800315706,34.0,32.219812565158854,0.3224556323029841,0.2696629213483146,0.08825984142439838,0.5,1267,4,gsm8k_phi3
0.4,33.898224852071,28.0,31.073233736401104,0.2966395540008995,0.2259169244365886,0.06837606837606838,0.45064078162669713,1690,4,gsm8k_phi3
0.5,29.216382575757574,19.0,30.038218341916785,0.2676852984791559,0.1701063829787234,0.042520954223081886,0.4277535441657579,2112,4,gsm8k_phi3
0.6,23.406866614048933,11.0,27.680037915827924,0.2229503976333817,0.10667674677701734,0.023857142857142855,0.3533215010141988,2534,4,gsm8k_phi3
0.7,18.548867095028747,7.0,25.051358734986373,0.18450434700792118,0.06153846153846154,0.014084507042253521,0.29411764705882354,2957,4,gsm8k_phi3
0.8,13.897898786623262,4.0,20.857737487677774,0.14397068971431656,0.04242424242424243,0.009345794392523364,0.2023894182904281,3379,4,gsm8k_phi3
0.9,8.861352275716916,2.0,16.14385420475543,0.09813997479669948,0.018404907975460124,0.0,0.1038961038961039,3801,4,gsm8k_phi3
0.1,122.98815165876778,111.5,104.61972371151927,0.4819526699386279,0.5277500656340247,0.19200779727095516,0.758699501336995,422,0,gsm8k_qwen
0.2,92.75384615384615,74.0,97.18190593025373,0.408651242306981,0.39308176100628933,0.11475409836065574,0.6733333333333333,845,0,gsm8k_qwen
0.3,73.0915548539858,47.0,88.14024028270563,0.3449532633179381,0.2654320987654321,0.07513440860215054,0.5908378136200717,1267,0,gsm8k_qwen
0.4,59.27988165680473,34.0,79.38766622035811,0.29996542289178296,0.193531929719775,0.06014220817697018,0.4971118934976345,1690,0,gsm8k_qwen
0.5,44.28409090909091,21.0,58.75967661062878,0.2515312509247824,0.1306501021102791,0.043041871921182265,0.4046867762853173,2112,0,gsm8k_qwen
0.6,35.48973954222573,14.0,48.31209881960427,0.21881629060642183,0.09523809523809523,0.03182541980312681,0.3469551282051282,2534,0,gsm8k_qwen
0.7,24.25836996956375,10.0,37.60979465271193,0.16273009368842248,0.06521739130434782,0.020833333333333332,0.22602739726027396,2957,0,gsm8k_qwen
0.8,16.54453980467594,5.0,31.78355162841975,0.12406319596019083,0.03488372093023256,0.007462686567164179,0.1474884405212274,3379,0,gsm8k_qwen
0.9,11.91002367797948,2.0,27.59824348460201,0.09980734879182956,0.014705882352941176,0.0,0.08571428571428572,3801,0,gsm8k_qwen
0.1,125.51658767772511,110.5,108.20035155007514,0.47618979885685514,0.5281878066814546,0.1985867446393762,0.728146045973332,422,1,gsm8k_qwen
0.2,96.44142011834319,80.0,89.65093616566261,0.42486638097413987,0.39571150097465885,0.15886939571150097,0.6770833333333334,845,1,gsm8k_qwen
0.3,75.14443567482242,55.0,78.31758231899921,0.3572764880937548,0.3125,0.09090909090909091,0.5962710747432588,1267,1,gsm8k_qwen
0.4,61.72544378698225,42.5,65.09188137742493,0.32068113457349756,0.24577802135346893,0.06888782866836302,0.5347716061246717,1690,1,gsm8k_qwen
0.5,46.94886363636363,25.0,54.251302514006554,0.26749448105094964,0.14598626568789957,0.03481295973674022,0.4612897877984085,2112,1,gsm8k_qwen
0.6,35.65430149960537,14.0,47.319403570495524,0.21962201892640404,0.09230391124218804,0.01902045989498461,0.34925749509666576,2534,1,gsm8k_qwen
0.7,25.17754480892797,9.0,38.712277673498384,0.1725501238765583,0.059602649006622516,0.010416666666666666,0.23809523809523808,2957,1,gsm8k_qwen
0.8,17.307783367860313,5.0,33.26176550455273,0.13023194761601956,0.03007518796992481,0.0,0.13095238095238096,3379,1,gsm8k_qwen
0.9,10.460668245198631,1.0,23.47514524061672,0.09622083228882272,0.005681818181818182,0.0,0.06930693069306931,3801,1,gsm8k_qwen
0.1,122.79620853080569,109.5,105.94689801450018,0.4655957476502854,0.5039910338417801,0.1581384015594542,0.7282821642232594,422,2,gsm8k_qwen
0.2,92.31597633136094,74.0,93.14806330471696,0.40739893684580986,0.38513513513513514,0.11666666666666667,0.654320987654321,845,2,gsm8k_qwen
0.3,70.42620363062352,49.0,71.6522440718801,0.3461467721983042,0.2978723404255319,0.08248081841432225,0.5723607427055704,1267,2,gsm8k_qwen
0.4,58.39230769230769,35.0,76.26492636909079,0.2998659722955128,0.20051546391752578,0.047885167464114836,0.5095833333333333,1690,2,gsm8k_qwen
0.5,45.146780303030305,21.0,58.504785231095255,0.25687165570675247,0.13086080586080587,0.025,0.44771428571428573,2112,2,gsm8k_qwen
0.6,32.10576164167325,11.0,47.10816306731739,0.19688434945937897,0.0724160945842868,0.013223152551273449,0.311421126913473,2534,2,gsm8k_qwen
0.7,22.46195468380115,7.0,36.55160656491221,0.1541686318114796,0.046052631578947366,0.005188067444876783,0.21929824561403508,2957,2,gsm8k_qwen
0.8,14.416691328795501,3.0,28.605093010521582,0.11139071993836765,0.02127659574468085,0.0,0.1047731338429013,3379,2,gsm8k_qwen
0.9,8.067350697184951,0.0,20.863071697321995,0.07339391398733716,0.0,0.0,0.0457516339869281,3801,2,gsm8k_qwen
